CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,CHOCÓ,27361,ISTMINA,- 0,- 0,57.00,36.00,196.00,210.00,205.00,425.00,497.00,847.00,684.00,760.00,369.00,517.00,303.11,476.71,743.05,577.36,228.85,200.15,462.79,311.83
27,CHOCÓ,27372,JURADÓ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,13.00,18.00,9.00,9.00,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
27,CHOCÓ,27413,LLORÓ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10.00,- 0,4.00,- 0,- 0,- 0,- 0,1.37,- 0,- 0,4.16,13.54,7.96
27,CHOCÓ,27425,MEDIO ATRATO (Beté),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,3.00,4.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
27,CHOCÓ,27430,MEDIO BAUDÓ (Boca de Pepé),- 0,- 0,4.23,11.00,68.00,24.00,77.00,228.00,254.00,333.00,352.00,606.00,177.00,231.00,134.81,68.85,64.52,43.42,36.61,39.79,161.45,170.15
27,CHOCÓ,27450,MEDIO SAN JUAN (Andagoya),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,305.00,192.00,153.00,304.90,136.34,305.05,224.96,81.23,82.53,249.03,218.32
27,CHOCÓ,27491,NÓVITA,- 0,- 0,93.00,30.00,90.00,237.00,76.00,215.00,190.00,249.00,464.00,165.00,91.00,53.00,78.94,75.26,162.33,130.29,69.32,61.85,143.69,133.92
27,CHOCÓ,27495,NUQUÍ,- 0,- 0,- 0,2.00,5.00,2.00,8.00,23.00,19.00,13.00,12.00,33.00,3.00,6.00,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
27,CHOCÓ,27001,QUIBDÓ,- 0,- 0,- 0,- 0,2.97,3.00,3.00,7.00,42.00,26.00,14.00,25.00,11.00,2.00,5.76,3.75,7.16,3.52,5.07,12.59,26.06,27.05
27,CHOCÓ,27580,RÍO IRÓ (Santa Rita),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,12.00,12.00,13.00,14.05,7.90,27.68,16.33,6.48,9.86,26.31,16.46
